request_word,request_lang,request_pos,request_ipa,request_ipa_formatted,request_word_en,response_word,response_lang,response_pos,response_ipa,response_ipa_formatted,response_word_en
trankvila,eo,adjective,/trankvila/,ɶmbyɶ,quiet,panglicar,ro,noun,/panɡlikar/,ɶmbyɶ,juggler
quiet,en,adjective,/ˈkwaɪət/,ɶʏəb,quiet,abrichtet,de,verb,/ˈʔapˌɾɪçtət/,ɶʏəb,retrieved
静か,ja,adjective,/ɕizɯka/,yuɶ,quiet,bifurca,es,adjective,/bifuɾka/,yuɶ,bifurca.
diam,id,adjective,/diam/,yɶm,Silence,い段,ja,noun,/idaɴ/,yɶm,Staircase
愚か,ja,adjective,/oɾoka/,ooɶ,stupid,得了吧,zh-cn,verb,/tɤ˧˥ lɤ˧ pa˧/,ooɶ,Come on
stupid,en,adjective,/ˈstupəd/,buəb,stupid,Blutes,de,adjective,/ˈbluːtəs/,buəb,Blood
blöd,de,verb,/bløːt/,bøb,stupid,blék,id,noun,/bleʔ/,bøb,tin
stulta,eo,adjective,/stulta/,bubɶ,stupid,fluctuar,es,verb,/fluktwaɾ/,bubɶ,fluctuate
sepenuhnya,id,adjective,/səpənuhɲa/,əəuɶ,fully,出神入化,zh-cn,verb,/ʈʂʰu˥˥ ʂən˧˥ ʐu˥˩ xwa˥˩/,uəuɶ,Ginseng
cabul,id,adjective,/tʃabul/,ɶub,While,가극,ko,noun,/ka̠ɡɯk̚/,ɶub,Fiction
obsequious,en,adjective,/əbˈsikwiəs/,əbyyəb,obsequious,akkreditiertes,de,adjective,/ʔakɾeˈdiːtiːɾtəs/,ɶøyyəb,accredited
fight,en,verb,/ˈfaɪt/,ɶʏb,fight,Basis,de,noun,/ˈbaːzɪs/,ɶʏb,Base
pertarungan,id,verb,/pərtaruŋan/,əɶuɶm,fight,araucan,ro,adjective,/araukan/,ɶɶuɶm,Araucanía
싸움,ko,verb,/s͈a̠um/,ɶum,Fight,abun,id,verb,/abun/,ɶum,Abun
放弃,zh-cn,verb,/fɑŋ˥˩ tɕʰi˥˩/,ɑmby,give up,chomsky,en,adjective,/ˈtʃɑmˌski/,ɑmby,chomsky
berhenti,id,verb,/bərhənti/,əəmy,Stop,burgundy,en,noun,/ˈbɝɡəndi/,əəmy,burgundy
リッチ,ja,adjective,/ɾitɕːi/,yby,rich,diksi,id,noun,/diʔsi/,yby,Diction
menjijikkan,id,adjective,/məndʒidʒiʔkan/,əmyybɶm,disgusting,administran,es,verb,/aðministɾan/,ɶbyybɶm,Administran.
beschäftigt,de,verb,/bəˈʃɛftɪkt/,əœbʏbb,employed,collectives,en,noun,/kəˈɫɛktɪvz/,əœbʏbb,collectives
sibuk,id,adjective,/sibuʔ/,yub,busy,biciul,ro,noun,/bitʃ̩ul/,yub,whip
忙しい,ja,adjective,/isogaɕii/,yoɶyy,busy,가와사끼 시,ko,noun,/ka̠wa̠sʰa̠k͈i ɕʰi/,ɶɶɶyy,Kawasaki City
sordid,en,verb,/ˈsɔɹdəd/,ɔəb,sordid,Bockes,de,noun,/ˈbɔkəs/,ɔəb,Bock
肮脏,zh-cn,verb,/ɑŋ˥˥ tsɑŋ˥˥/,ɑmbɑm,dirty,armstrong,en,noun,/ˈɑɹmˌstɹɑŋ/,ɑmbɑm,armstrong
mesum,id,verb,/məsum/,əum,nasty,căpșun,ro,noun,/kəpʃun/,əum,strawberry
glitiga,eo,adjective,/glitiga/,byyɶ,slippery,Mobiliar,de,noun,/mobiliaɽ/,oyyɶ,Mobiliar
licin,id,adjective,/litʃin/,yym,slippery,huillín,es,noun,/wiˈʎin/,yym,Huillín.
