word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
mendigar,es,/mendiɣaɾ/,ømyɶ,beg,頼む,puricaș,ro,/purikaʃ/,uyɶ,Puricas,斑点,kyaku,yɶ,verb,3
petegi,eo,/petegi/,øøy,begging for,懇願する,창세기,ko,/t͡ɕʰa̠ŋsʰe̞ɡi/,bbɶmbøy,Genesis,創世記,kyaku,øy,verb,3
ماكر,ar,/maːkara/,ɶɶɶ,cunning,unning,赫剌剌,zh-cn,/xɤ˥˩ la˥˩ la˥˩/,oɶɶ,Hyuna,ヒューナ,kyaku,ɶɶ,adjective,3
verstohlen,de,/fɛːɐ̯ˈʃtolən/,œɐoəm,tremendous,絶大,gian chí tuyến,vi,/jaŋ˧˥ ci˩˧ twiəŋ˩˧/,ɶmybyəm,gate,ゲート,kyaku,əm,verb,3
karakter,id,/karaʔtər/,ɶɶbə,character,キャラクター,scăfiță,ro,/skəfitsə/,bəybə,drop,落とす,kyaku,bə,noun,3
Charakter,de,/kaˈraktər/,ɶɶbə,character,キャラクター,sahaja,id,/sahadʒa/,ɶɶbɶ,Sahaja,サハジャ,to,ɶb,noun,3
character,en,/ˈkɛɹɪktɝ/,œʏbə,character,キャラクター,örbylgjuofn,is,/œrpɪlcʏɔpn̥/,œʏbʏɔbm,microwave,電子レンジ,to,ʏb,noun,3
personaje,es,/peɾsonaxe/,øoɶø,character,キャラクター,rekonado,eo,/rekonado/,øoɶo,Recognition,認識,to,oɶ,noun,4
admirar,es,/aðmiɾaɾ/,ɶbyɶ,admire,憧れ,Úkraína,is,/uːkra ina/,ubɶyɶ,Ukraine,ウクライナ,kyaku,yɶ,verb,3
钦佩,zh-cn,/tɕʰɪn˥˥ pʰeɪ˥˩/,bbʏmbøʏ,admiration,感嘆,mobay,en,/moʊˈbeɪ/,oʊøʏ,mobay,モバイ,kyaku,øʏ,verb,3
憧れ,ja,/akogaɾe/,ɶoɶø,longing,憧れ,anorganik,id,/anorganiʔ/,ɶoɶyb,inorganic,無機,to,oɶ,noun,4
bewundern,de,/bəˈvʊndɐn/,əʊmɐm,admire,憧れ,施工缝,zh-cn,/ʂɚ˥˥ kʊŋ˥˥ fɤŋ˥˩/,əʊmom,Construction seam,建設縫い目,to,ʊm,verb,3
admiri,eo,/admiri/,ɶbyy,admire,憧れ,pastichées,fr,/pastiʃe/,ɶbyø,Pastiche,パスティッシュ,to,by,noun,3
divertissement,fr,/divɛʁtismɑ̃/,yœbybɑ,entertainment,エンターテイメント,이개지개,ko,/iɡɛ̝d͡ʑiɡɛ̝/,yœbyœ,Egogaegae,エゴガエ,to,œby,noun,4
Kabine,de,/ˈkɑːbɪnə/,ɑʏə,cabin,キャビン,咖啡室,zh-cn,/kʰa˥˥ feɪ˥˥ ʂɚ˥˩/,bɶøʏə,Coffee,コーヒー,kyaku,ʏə,noun,3
kabano,eo,/kabano/,ɶɶo,cabin,キャビン,Kranbau,de,/ˈkɾanbao/,bɶmɶo,Crane building,クレーンビルディング,kyaku,ɶo,noun,3
cabină,ro,/kabinə/,ɶyə,cabin,キャビン,kaliber,id,/kalibər/,ɶyə,caliber,口径,kyaku,yə,noun,3
디저트,ko,/tid͡ʑʌ̹tʰɯ/,ybɔbu,dessert,デザート,hääitku,fi,/ˈhææitku/,ææybu,wedding,結婚式,kyaku,bu,noun,3
زحف,ar,/zaħafa/,ɶɶɶ,crawling,クロール,llevada,es,/ʎeβaða/,øɶɶ,carried,運ばれた,kyaku,ɶɶ,adjective,3
忍び寄る,ja,/ɕinobijoɾɯ/,yoyou,Creeping up,忍び寄る,isolierbaren,de,/ʔizoliːɾˈbaɽən/,yoyɶəm,insulating,絶縁,to,oy,verb,5
tuomari,fi,/ˈtuomɑri/,uoɑy,judge,ジャッジ,défendu,fr,/defɑ̃dy/,øɑy,defended,弁護した,kyaku,ɑy,verb,3
chaleco,es,/tʃaleko/,bɶøo,vest,ベスト,半ベソ,ja,/haɴbeso/,ɶmøo,Half -vesor,半ベソ,kyaku,øo,noun,3
武装,ja,/bɯsoɯ/,uou,Armed,武装,oiseau-mouche,fr,/wazomuʃ/,ɶou,Hummingbird,ハチドリ,kyaku,ou,noun,3
التسلح,ar,/aːltasalluħ/,ɶbɶɶbub,Armament,武装,vânzătorul,ro,/vɨnzətorul/,ʉməoub,seller,売り手,kyaku,ub,noun,4
persenjataan,id,/pərsəndʒataʔan/,əəmbɶɶɶm,weapons,兵器,فبالمجسم,ar,/fabiaːlmudʒassam/,ɶyɶbubɶbɶm,In the body,体内,kyaku,ɶm,noun,5
armement,fr,/aʁməmɑ̃/,ɶbəɑ,armament,武装,打喷嚏,zh-cn,/ta˨˩˦ pʰən˥˥ tʰi˥˩/,ɶbəmby,sneeze,くしゃみ,to,bə,noun,3
melipat,id,/məlipat/,əyɶb,fold,折り畳み,áorkað,is,/auːɔr̥kað/,ɶuɔɶb,understood,了解した,kyaku,ɶb,verb,3
種族,ja,/ɕɯzokɯ/,uou,Race,種族,피조물,ko,/pʰid͡ʑo̞muɭ/,bybou,Creation,創造,kyaku,ou,noun,3
kelloseppä,fi,/ˈkelloˌseppæ/,øboøbæ,watchmaker,時計職人,exotischerem,de,/ˈʔeːksotɪʃɐ̯əm/,øboʏɐəm,exotic,エキゾチック,to,bo,noun,4
ceasornicar,ro,/tʃ̩asornikar/,bɶoyɶ,watchmaker,時計職人,jaquetilla,es,/xaketiʎa/,ɶøyɶ,Jaquetilla,ジャケティラ,kyaku,yɶ,noun,4
descendant,en,/dɪˈsɛndənt/,ʏœməmb,descendant,子孫,résonans,id,/resonans/,øoɶmb,Résonans,レソン,kyaku,mb,noun,3
Nachfahre,de,/ˈnaxˌfɑɾə/,ɶbɑə,Follow -up,ファローアップ,en temps de,fr,/ɑ̃tɑ̃də/,ɑɑə,in time,やがて,kyaku,ɑə,noun,3
jälkeläinen,fi,/ˈjælkeˌlæinen/,æbøæyøm,descendant,子孫,catehumen,ro,/katehumen/,ɶøuøm,Catechumen,カテクメン,kyaku,øm,noun,4
afkomandi,is,/avkʰɔmantɪ/,ɶbbɔɶmʏ,descendant,子孫,パッチ・ファイル,ja,/patɕːi ɸaiɾɯ/,ɶbbyɶyu,Patch file,パッチ・ファイル,to,bb,noun,4
memperkenalkan,id,/məmpərkənalkan/,əməəɶbɶm,introduce,導入,expérimentâmes,fr,/ɛkspeʁimɑ̃tam/,œbbøyɑɶm,experienced,経験豊富,kyaku,ɶm,verb,5
introduire,fr,/ɛ̃tʁɔdɥiʁ/,œbɔbyb,introduce,導入,sălășluit,ro,/sələʃluit/,əəuyb,dwelt,Dwelt,kyaku,yb,verb,3
introducir,es,/intɾoðuθiɾ/,ymbouy,Introduce,導入,lingua franca,fr,/lingwafʁɑ̃ka/,ymbɶbɑɶ,lingua franca,リンガ・フランカ,to,mb,verb,4
導入,ja,/doɯnjɯɯ/,oumuu,introduction,導入,corumpe,ro,/korumpe/,oumø,Corcospe,Corcospe,to,um,noun,3
