word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
vinatero,es,/binateɾo/,yɶøo,vintner,ヴィントナー,희박하다,ko,/çiba̠kʰa̠da̠/,yɶbɶɶ,Rare,レア,to,yɶ,adjective,4
memperbaiki,id,/məmpərbaiki/,əməɶyy,repair,修理,Benzinkosten,de,/bəˈntsɪŋkɔstən/,əmbʏmɔbəm,Gasoline,ガソリン,to,əm,noun,4
reparar,es,/repaɾaɾ/,øɶɶ,repair,修理,béatifiait,fr,/beatifjɛ/,øɶybœ,Beatified,beatified,to,øɶ,verb,3
Reparatur,de,/ɾepɑɾɑˈtuːɐ/,øɑɑuɐ,repair,修理,démantibulasse,fr,/demɑ̃tibylas/,øɑyyɶb,demore,魔法,to,øɑ,noun,5
réparation,fr,/ʁepaʁasjɔ̃/,øɶɶbɔ,repair,修理,negație,ro,/neɡatsije/,øɶbyø,negative,ネガティブ,to,øɶ,noun,4
reparație,ro,/reparatsije/,øɶɶbyø,repair,修理,revalidares,es,/reβaliðaɾes/,øɶyɶøb,revalidars,Revalidars,to,øɶ,noun,5
動かす,ja,/ɯgokasɯ/,uoɶu,move,動かす,utopischen,de,/ˈʔuːtopɪʃən/,uoʏəm,utopian,ユートピア,to,uo,verb,4
sitelo,eo,/sitelo/,yøo,bucket,バケツ,tibétains,fr,/tibetɛ̃/,yøœ,Tibetans,チベット人,to,yø,noun,3
ketukan,id,/kətukan/,əuɶm,knock,ノック,repoussez,fr,/ʁəpuse/,əuø,Plush,豪華,to,əu,verb,3
طرق,ar,/tˤaraqa/,bɶɶɶ,Methods,方法,staflaði,is,/staplaðɪ/,bɶbɶʏ,stack,スタック,to,bɶ,verb,3
koputtaa,fi,/ˈkoputtɑɑ/,oubɑɑ,knock,ノック,saupoudrerais,fr,/sopudʁəʁɛ/,oubəœ,would sprinkle,振りかけるでしょう,to,oub,verb,4
prisoner,en,/ˈpɹɪzənɝ/,bʏəə,prisoner,囚人,Zimmermanns,de,/ˈtsɪmmɛɾmanns/,bʏmœɶmmb,Carpenter,大工,to,bʏ,noun,3
tynnyri,fi,/ˈtynnyri/,ymyy,barrel,たる,chinoisiez,fr,/ʃinwazje/,ymɶbø,chinoisiez,Chinoisiez,to,ym,noun,3
휘파람,ko,/hɥipʰa̠ɾa̠m/,ybɶɶm,whistle,ホイッスル,hipnoto,eo,/hipnoto/,yboo,hypnosis,催眠,to,yb,noun,3
haukkua,fi,/ˈhɑukˌkuɑ/,ɑubuɑ,bark,吠える,mattucci,en,/mɑˈtutʃi/,ɑuby,mattucci,マトゥッチ,to,ɑub,verb,3
furtivo,es,/fuɾtiβo/,uyo,furtive,ひどい,اوليمبي,ar,/ʔuːliːmbijj/,uymy,Olympic,オリンピック,to,uy,adjective,3
kapea,fi,/ˈkɑpeɑ/,ɑøɑ,narrow,狭い,enferrant,fr,/ɑ̃feʁɑ̃/,ɑøɑ,hell,地獄,to,ɑøɑ,noun,3
適所,ja,/tekiɕo/,øyo,Right place,適所,servilo,eo,/servilo/,øyo,server,サーバ,to,øyo,noun,3
ventilateur,fr,/vɑ̃tilatœʁ/,ɑyɶœb,fan,ファン,Kapitäne,de,/ˈkɑːpitɛnə/,ɑyœə,Captain,キャプテン,to,ɑy,noun,4
المعجب,ar,/aːlmuʕdʒib/,ɶbubbyb,Admire,憧れ,đại hồng phúc,vi,/daj˨ˀ˩ʔ hoŋ͡m˦˨ fuk͡p˦˥/,ɶbommubb,Dai Hong Phuc,Dai Hong Phuc,to,ɶb,noun,3
pegatina,es,/peɣatina/,øɶyɶ,sticker,ステッカー,metaloido,eo,/metaloido/,øɶoyo,metalloid,メタロイド,to,øɶ,verb,4
ステッカー,ja,/sɯtekːaː/,uøbɶ,Sticker,ステッカー,sous-payai,fr,/supejɛ/,uøœ,underpayai,アンダーペイアイ,to,uø,noun,3
brottvísun,is,/prɔhtvisʏn/,bɔbyʏm,expulsion,追放,prorogeais,fr,/pʁɔʁɔʒɛ/,bɔɔœ,prorogeais,Prorogeais,to,bɔ,noun,3
evacuare,ro,/evakuware/,øɶuɶø,evacuation,避難,Mehrfachzuweisung,de,/ˈmeɾfaxtsuvaezʊŋ/,øɶbbuɶøʊm,Multiple assignment,複数の割り当て,to,øɶ,noun,5
立ち退き,ja,/tatɕinoki/,ɶbyoy,Evacuation,立ち退き,atrochabais,es,/atɾotʃaβais/,ɶbobɶɶyb,You were,あなたはそうでした,to,ɶb,noun,4
Vertreibung,de,/fɛːɐ̯ˈtɾaebʊŋ/,œɐbɶøʊm,expulsion,追放,각오하다,ko,/ka̠ɡo̞ɦa̠da̠/,obyɶb,Be prepared,準備して,,,noun,3
