word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
libertad,es,/liβeɾtað/,yøɶb,freedom,フリーダム,gạch ốp lát,vi,/ɣak˨ˀ˩ʔ op˦˥ lak˦˥/,ɶbbobɶb,ceramic tiles,セラミックタイル,kyaku,ɶb,noun,3
liberté,fr,/libɛʁte/,yœbø,freedom,フリーダム,Widerspruch,de,/ˈviːdɛɾspɾʊx/,yœbbʊb,Objection,異議,to,œb,noun,3
Freiheit,de,/ˈfʀaɪ̯haɪ̯t/,bɶʏɶʏb,freedom,フリーダム,للبويض,ar,/lilbuːeɪdˤ/,ybuøʏb,For eggs,卵の場合,kyaku,ʏb,noun,4
自由,zh-cn,/tsɯ˥˩ joʊ˧˥/,buoʊ,free,自由,conlow,en,/ˈkɑnɫoʊ/,ɑmoʊ,conlow,コンロー,kyaku,oʊ,verb,3
肝臓,ja,/kaɴzoɯ/,ɶmou,liver,肝臓,半成品,zh-cn,/pan˥˩ ʈʂʰɤŋ˧˥ pʰɪn˨˩˦/,ɶmombʏm,Semi -finished product,セミフィニッシュ製品,to,mo,noun,3
混蛋,zh-cn,/xuən˥˩ tan˥˩/,uəmɶm,asshole,下衆野郎,misogam,ro,/misoɡam/,yoɶm,misogam,ミソガム,kyaku,ɶm,noun,3
smucitură,ro,/smutʃiturə/,bubyuə,jerk,ぴくぴく動く,sjúkraliða,is,/sjuːkralɪːða/,bubɶʏɶ,hospital,病院,to,ub,noun,4
imbécil,es,/iˈmbeθil/,ymøyb,fool,バカ,adumbrit,ro,/adumbrit/,ɶumbyb,overshadowed,影を落とした,kyaku,yb,adjective,3
skíthæll,is,/sciːthaitl̥/,bybɶybb,pos,Pos,thi cử học,vi,/tʰi˧˥ kɯ˧˩˨ hɔk͡p˨ˀ˩ʔ/,byuɔbbb,exam,テスト,kyaku,bb,noun,3
superior,ro,/superior/,uøyo,higher,より高い,utelias,fi,/ˈuteˌliɑs/,uøyɑb,curious,奇妙な,to,øy,adjective,4
hazelnut,en,/ˈheɪzəɫˌnət/,øʏəəb,hazelnut,ヘーゼルナッツ,美人鱼,zh-cn,/meɪ˨˩˦ ʐən˧˥ y˧˥/,øʏəmy,Mermaid,マーメイド,to,ʏə,noun,4
hasselpähkinä,fi,/ˈhɑsselˌpæhkinæ/,ɑbøbæyæ,hazelnut,ヘーゼルナッツ,entr'égorgeassions,fr,/ɑ̃tʁegɔʁʒasjɔ̃/,ɑbøɔbɶbɔ,ENGORGEAADS,engorgeaads,to,bø,noun,5
avellana,es,/aβeʎana/,ɶøɶɶ,hazelnut,ヘーゼルナッツ,steinaltes,de,/ˈʃtaenaltəs/,ɶøɶbəb,stone altitude,石の高度,to,øɶ,adjective,4
البندق,ar,/aːlbunduq/,ɶbumub,Hazelnut,ヘーゼルナッツ,vaglumo,eo,/vaglumo/,ɶbuo,wanderer,ワンダラー,to,bu,noun,3
ヘーゼルナッツ,ja,/heːzeɾɯnatsːɯ/,øøuɶbbu,Hazelnuts,ヘーゼルナッツ,akuakultur,id,/akuakultur/,ɶuɶubu,Aquaculture,水産養殖,kyaku,bu,noun,5
ミレニアム,ja,/miɾeniamɯ/,yøyɶu,Millennium,ミレニアム,mileniului,ro,/mileniuluj/,yøyuu,Millennium,ミレニアム,to,øy,noun,5
millénaire,fr,/milenɛʁ/,yøœb,millennium,ミレニアム,svínakjöt,is,/sviːnacœːt/,byɶœb,pork,豚肉,kyaku,œb,noun,3
millennium,en,/məˈɫɛniəm/,əœyəm,millennium,ミレニアム,Kaufzwängen,de,/ˈkaoftsvɛŋən/,ɶobbbœəm,Purchase constraints,購入制約,kyaku,əm,noun,4
异想天开,zh-cn,/i˥˩ ɕjɑŋ˨˩˦ tʰjɛn˥˥ kʰaɪ˥˥/,ybɑmbœmbɶʏ,Whimsical,気まぐれ,fyrirhugaður,is,/fɪːrɪrhʏːɣaðʏr/,ʏʏʏɶʏ,proposed,提案,kyaku,ɶʏ,verb,5
whimsical,en,/ˈhwɪmzɪkəɫ/,ʏmʏə,whimsical,気まぐれ,yndislegt,is,/ɪntɪstlɛxt/,ʏmʏbbœbb,wonderful,素晴らしい,to,mʏ,adjective,3
samkomulag,is,/samkʰɔmʏlaːɣ/,ɶmbɔʏɶ,pact,協定,感叹号,zh-cn,/kan˨˩˦ tʰan˥˩ xɑʊ˥˩/,ɶmbɶmɑʊ,Signs,サイン,to,mb,noun,4
linterna,es,/linteɾna/,ymøɶ,Lantern,灯籠,Korea,de,/koˈʀeːaː/,oøɶ,Korea,韓国,kyaku,øɶ,noun,3
Laterne,de,/ˈlɑːtɛɾnə/,ɑœə,Lantern,灯籠,au point de,fr,/opwɛ̃də/,obœə,at point,ポイントで,kyaku,œə,noun,3
灯籠,ja,/toɯɾoɯ/,ouou,Lantern,灯籠,chí công vô tư,vi,/ci˩˧ koŋ͡m˧˥ jo˧˥ tɯ˧˥/,yommou,Indifferent care,無関心なケア,kyaku,ou,noun,4
chemin de fer,fr,/ʃəmɛ̃dfɛʁ/,əœbœb,railway,鉄道,实业家,zh-cn,/ʂɚ˧˥ jɛ˥˩ tɕja˥˥/,əœbbɶ,Industrialist,産業家,to,œb,noun,3
ferrocarril,es,/ferokaril/,øoɶyb,railway,鉄道,وبتدجيل,ar,/wabitaddʒiːl/,ɶyɶbbyb,And with a costume,そして衣装で,kyaku,yb,noun,4
rautatie,fi,/ˈrɑutɑtie/,ɑuɑyø,railway,鉄道,lexicalisées,fr,/lɛksikalize/,œbyɶyø,lexicon,レキシコン,kyaku,yø,noun,5
pínulítill,is,/pʰiːnʏliːtɪtl̥/,byʏyʏbb,tiny,小さな,zynischerer,de,/ˈtsyːnɪʃɐ̯ɐ̯/,byʏɐɐ,cynic,皮肉,to,yʏ,adjective,4
minuscule,fr,/minyskyl/,yybyb,tiny,小さな,أنجرف,ar,/ʔandʒarif/,ɶmbɶyb,Spare,予備の,kyaku,yb,adjective,3
abundant,en,/əˈbəndənt/,əəməmb,abundant,豊富です,fox-hound,fr,/fɔksaund/,ɔbɶumb,fox-hound,フォックスハウンド,kyaku,mb,adjective,3
abundante,es,/aβundante/,ɶumɶmø,abundant,豊富です,كمنفرج,ar,/kamunfaridʒ/,ɶumɶyb,As a single,シングルとして,to,umɶ,adjective,4
abundent,ro,/abundent/,ɶumømb,abundant,豊富です,Gleichstroms,de,/ˈglaeçstɾɔms/,bɶøbbɔmb,Direct current,直流,kyaku,mb,noun,3
hömlulaus,is,/hœmlʏlœiːs/,œmʏœyb,rampant,横行します,마그네틱,ko,/ma̠ɡɯne̞tʰik̚/,ɶuøbyb,Magnetic,磁気,kyaku,yb,adjective,4
behold,en,/bɪˈhoʊɫd/,ʏoʊb,behold,見よ,لسوط,ar,/lisaʊtˤ/,yɶʊb,Lash,ラッシュ,kyaku,ʊb,verb,3
navigoida,fi,/ˈnɑviˌgoidɑ/,ɑyoyɑ,navigate,ナビゲートします,capitalisant,fr,/kapitalizɑ̃/,ɶyɶyɑ,capitalizing,大文字,kyaku,yɑ,verb,5
navigate,en,/ˈnævəˌɡeɪt/,æəøʏb,navigate,ナビゲートします,klæðaburð,is,/kʰlaiːðapʏrð/,bɶyɶʏb,dress,ドレス,kyaku,ʏb,verb,4
التنقل,ar,/aːltanaqqul/,ɶbɶɶbub,Mobility,可動性,抹下来,zh-cn,/ma˥˥ ɕja˥˩ laɪ˧˥/,ɶbɶɶʏ,Erase,消去します,to,bɶɶ,verb,4
点灯,ja,/teɴtoɯ/,ømou,Lighting,点灯,senzorga,eo,/senzorga/,ømoɶ,careless,不注意,to,mo,noun,3
engineer,en,/ˈɛndʒəˈnɪɹ/,œmbəʏ,engineer,エンジニア,뱀장어,ko,/pɛ̝md͡ʑa̠ŋʌ̹/,œmbɶɔ,eel,うなぎ,to,mb,noun,3
inginer,ro,/indʒiner/,ymbyø,engineer,エンジニア,hringhröðun,is,/r̥iŋkr̥œðʏn/,ymbœʏm,ring,指輪,to,mb,noun,3
工程师,zh-cn,/kʊŋ˥˥ ʈʂʰɤŋ˧˥ ʂɚ˥˥/,ʊmomə,engineer,エンジニア,platbandă,ro,/platbandə/,bɶbɶmə,strip,ストリップ,kyaku,mə,noun,3
مهندس,ar,/muhandis/,uɶmyb,Engineer,エンジニア,出版社,zh-cn,/ʈʂʰu˥˥ pan˨˩˦ ʂɤ˥˩/,uɶmo,Publisher,出版社,to,ɶm,noun,3
insinööri,fi,/ˈinsiˌnøøri/,ymyøøy,engineer,エンジニア,바다수세미,ko,/pa̠da̠sʰusʰe̞mi/,ɶɶbubøy,Sea scrubber,シースクラバー,kyaku,øy,noun,5
insinyur,id,/insiɲur/,ymyu,engineer,エンジニア,刑具,ja,/keigɯ/,øyu,instruments of punishment,刑具,kyaku,yu,noun,3
varovainen,fi,/ˈvɑroˌvɑinen/,ɑoɑyøm,careful,気をつけろ,firmeneigen,de,/ˈfɪɾmənˌaeˌgeːn/,ʏəmɶøøm,company,会社,kyaku,øm,adjective,5
حرص,ar,/ħarasˤa/,ɶɶbɶ,Eagerness,意気込み,selesma,id,/sələsma/,əəbɶ,cold,寒い,kyaku,bɶ,adjective,3
注意深い,ja,/tɕɯɯibɯkai/,buuyuɶy,careful,注意深い,fototelegrafi,eo,/fototelegrafi/,ooøøbɶy,phototelegral to,光電接合へ,kyaku,ɶy,adjective,6
vieras,fi,/ˈvierɑs/,yøɑb,guest,ゲスト,Nachtzuschlag,de,/ˈnaxˌtsʊʃlɑk/,ɶbbʊɑb,Night surcharge,夜の追加料金,kyaku,ɑb,noun,3
kartelli,fi,/ˈkɑrtelli/,ɑøby,cartel,カルテル,evadne,en,/ɪˈvɛdni/,ʏœby,evadne,エヴァドネ,kyaku,by,noun,3
auzi,ro,/auzi/,ɶuy,hear,聞く,conducir,es,/konduθiɾ/,omuy,ride,乗る,kyaku,uy,verb,3
heyrist,is,/heiːrɪst/,øyʏbb,hear,聞く,anseilt,de,/ˈʔanˌzaelt/,ɶmɶøbb,hinted,ほのめかした,kyaku,bb,verb,3
范围,zh-cn,/fan˥˩ weɪ˧˥/,ɶmøʏ,scope,範囲,mcgrail,en,/məˈɡɹeɪɫ/,əbøʏ,mcgrail,マクグリル,kyaku,øʏ,noun,3
jangkauan,id,/dʒaŋkauan/,bɶmɶuɶm,range,範囲,transliterat,ro,/transliterat/,bɶmbyøɶb,transliterate,音訳,to,ɶm,verb,4
asuinpaikka,fi,/ˈɑsuinˌpɑikkɑ/,ɑuymɑybɑ,habitation,居住,cartusciello,en,/kɑɹˌtusiˈɛɫoʊ/,ɑuyœoʊ,cartusciello,cartusciello,to,uy,noun,6
住居,ja,/dʑɯɯkjo/,buubo,Residence,住居,multiflor,ro,/multiflor/,ubybo,Multiflor,マルチフラー,kyaku,bo,noun,3
residencia,es,/resiðenθja/,øyømbɶ,home,家,samfarirnar,is,/samfarɪtnar/,ɶmɶʏbɶ,intercourse,性交,kyaku,bɶ,noun,4
créature,fr,/kʁeatyʁ/,bøɶyb,creature,生き物,제안자,ko,/t͡ɕe̞a̠nd͡ʑa̠/,bøɶmbɶ,proponent,提案者,to,øɶ,noun,3
criatura,es,/kɾjatuɾa/,bɶuɶ,creature,生き物,nêu cao,vi,/nɛu˧˥ kaw˧˥/,œuɶ,upheld,支持,kyaku,uɶ,verb,3
olento,fi,/ˈolento/,oømo,being,であること,열전도,ko,/jʌ̹ɭd͡ʑʌ̹ndo̞/,ɔbɔmo,Thermal conductivity,熱伝導率,kyaku,mo,noun,3
falsification,fr,/falsifikasjɔ̃/,ɶbyyɶbɔ,falsification,改ざん,杀鸡吓猴,zh-cn,/ʂa˥˥ tɕi˥˥ ɕja˥˩ xoʊ˧˥/,ɶbybɶoʊ,Killing chickens scare monkeys,鶏を殺す猿を怖がらせる,to,by,noun,5
偽造,ja,/gizoɯ/,you,Counterfeiting,偽造,puosu,fi,/ˈpuosu/,uou,boatswain,ボートウェイン,kyaku,ou,noun,3
falsificación,es,/falsifikaˈθjon/,ɶbyyɶbom,falsification,改ざん,patriotisme,id,/patriotismə/,ɶbyoybə,patriotism,愛国心,to,by,noun,5
parsakaali,fi,/ˈpɑrsɑˌkɑɑli/,ɑɑɑɑy,broccoli,ブロッコリ,takasago,en,/ˌtɑkɑˈsɑɡoʊ/,ɑɑɑoʊ,takasago,タカサゴ,to,ɑɑ,noun,5
brocoli,fr,/bʁɔkɔli/,bɔɔy,broccoli,ブロッコリ,座椅,zh-cn,/tsuɔ˥˩ i˨˩˦/,buɔy,Seat,シート,kyaku,ɔy,noun,3
诱惑,zh-cn,/joʊ˥˩ xuɔ˥˩/,oʊuɔ,lure,ルアー,위구르어,ko,/ɥiɡuɾɯʌ̹/,yuuɔ,Uighing,uighing,kyaku,uɔ,verb,4
freista,is,/freista/,bøybɶ,tempt,誘惑,habislah,id,/habislah/,ɶybɶ,run out,なくなる,kyaku,ybɶ,verb,3
جذب,ar,/dʒaðaba/,bɶɶɶ,Attract,引きつける,klarmachtest,de,/ˈklaɾmaxtɛst/,bɶɶbœbb,clear power test,クリアパワーテスト,to,ɶɶ,verb,3
